Name	Name_id	Type	Review	N_review	Phone
Cipura Restaurant	cipura-restaurant-brooklyn	seafood	4.0	42	+17187585353
La chacra	la-chacra-brooklyn	peruvian	4.0	107	+17187585488
Red Mango	red-mango-brooklyn-3	juicebars	4.0	8	+17187585566
I BAKERY 18	i-bakery-18-brooklyn	bakeries	5.0	1	+17187585581
Blue Agave Restaurant Bar	blue-agave-restaurant-bar-bensonhurst	mexican	4.0	47	+17187585822
Osaka Sushi Express	osaka-sushi-express-brooklyn	japanese	4.0	63	+17187585888
House of Antojitos	house-of-antojitos-bronx	hotdogs	4.0	9	+17187586504
Mias Pizza Shoppe	mias-pizza-shoppe-brooklyn	pizza	4.0	18	+17187591700
Kings Rice Restaurant	kings-rice-restaurant-brooklyn	chinese	3.0	29	+17187596300
Halftime Kosher Sports Bar	halftime-kosher-sports-bar-marine-park	sportsbars	4.0	16	+17187596688
Back to USSR	back-to-ussr-brooklyn	russian	4.0	36	+17187596999
K's Cafeteria	ks-cafeteria-new-york	latin	5.0	1	+17187600418
Double Chinese Restaurant	double-chinese-restaurant-corona-2	chinese	3.0	10	+17187601021
Hua Rong Chinese Restaurant	hua-rong-chinese-restaurant-elmhurst	chinese	4.0	15	+17187601027
Sarita's Bakery	saritas-bakery-elmhurst	bakeries	2.0	7	+17187601034
Miller's Ale House - Rego Park	millers-ale-house-rego-park-rego-park	sportsbars	3.0	318	+17187601090
Olmsted Center Cafeteria	olmsted-center-cafeteria-college-point	cafeteria	1.5	2	+17187601139
Red Lobster	red-lobster-elmhurst	seafood	2.5	233	+17187603050
Antioquena Bakery La	antioquena-bakery-la-elmhurst	bakeries	3.0	7	+17187603333
Toltecamila Taqueria	toltecamila-taqueria-elmhurst	mexican	4.5	4	+17187603778
Nutripan Bakery & Restaurant	nutripan-bakery-and-restaurant-elmhurst	bakeries	3.0	10	+17187604444
Mini Picanteria El Guayaquileno	mini-picanteria-el-guayaquileno-elmhurst	latin	3.0	3	+17187604982
Red Mango	red-mango-rego-park	icecream	3.0	44	+17187607100
Outback Steakhouse	outback-steakhouse-elmhurst	steak	2.5	172	+17187607200
Haagen Dazs Shop	haagen-dazs-shop-elmhurst	icecream	4.0	5	+17187607220
Papa John's Pizza	papa-johns-pizza-elmhurst-5	pizza	1.5	19	+17187607272
World Ice Arena	world-ice-arena-flushing	skatingrinks	4.0	35	+17187609001
Carvel Ice Cream	carvel-ice-cream-staten-island	icecream	3.0	6	+17187611367
Bagels & Buns	bagels-and-buns-staten-island	bagels	4.0	28	+17187611900
Paesano's Pizzeria	paesanos-pizzeria-staten-island	pizza	4.0	24	+17187612070
Classic Deli & Bagels	classic-deli-and-bagels-staten-island	bagels	2.5	3	+17187613307
Outback Steakhouse	outback-steakhouse-staten-island	steak	3.0	80	+17187613907
Wendy's	wendys-staten-island-9	hotdogs	3.0	4	+17187613950
Heartland Bagels	heartland-bagels-staten-island	bakeries	4.0	40	+17187614289
King's Pizzeria & Restaurant	kings-pizzeria-and-restaurant-staten-island-3	pizza	3.5	28	+17187614455
Holy Schnitzel	holy-schnitzel-staten-island	mideastern	3.5	51	+17187614659
Dunkin' Donuts	dunkin-donuts-sloatsburg	donuts	5.0	2	+17187615281
Hillside Swimming Club	hillside-swimming-club-staten-island		0.0	0	+17187615910
Chelsea Playground	chelsea-playground-staten-island	eventplanning	3.0	15	+17187617529
Jade Island	jade-island-staten-island	chinese	3.5	123	+17187618080
Oriental Plaza Chinese & Japanese Restaurant	oriental-plaza-chinese-and-japanese-restaurant-staten-island	chinese	3.0	80	+17187618668
DiLeo's Pizzeria	dileos-pizzeria-staten-island	pizza	4.0	17	+17187618888
Haagen Dazs Shop	haagen-dazs-shop-staten-island	juicebars	2.5	2	+17187619900
Palace Music Studio	palace-music-studio-flushing		0.0	0	+17187620053
Happy Town Chinese Kitchen	happy-town-chinese-kitchen-college-point	chinese	3.5	7	+17187621870
Xiao Du Hui	xiao-du-hui-flushing	chinese	3.0	12	+17187621955
Maxin Bakery	maxin-bakery-flushing-2	bakeries	3.5	25	+17187622222
College Point Multiplex Cinema	college-point-multiplex-cinema-flushing	movietheaters	3.5	183	+17187622383
Szechuan House	szechuan-house-flushing	szechuan	4.0	56	+17187622664
Fillmore's Tavern	fillmores-tavern-flushing	pubs	4.0	117	+17187622727
Bangane	bangane-flushing-2	korean	4.0	38	+17187622799
Gong Cha	gong-cha-new-york-20	bubbletea	3.5	46	+17187622874
Vanilla Cafe	vanilla-cafe-flushing	coffee	3.5	31	+17187622888
Peking Empire	peking-empire-new-york	chinese	4.5	3	+17187623080
Dunkin Donuts	dunkin-donuts-flushing-32	donuts	3.5	20	+17187623804
Wendy's	wendys-flushing-2	hotdogs	2.5	24	+17187624055
Hewhama Corporation	hewhama-corporation-flushing	restaurants	0.0	0	+17187625550
Bakhter Halal Kababs	bakhter-halal-kababs-fresh-meadows	afghani	3.5	193	+17187625572
Pho Hoang	pho-hoang-flushing	vietnamese	3.0	156	+17187626151
Minnis Shabu Shabu II	minnis-shabu-shabu-ii-flushing	chinese	3.5	276	+17187626277
Tous les Jours	tous-les-jours-flushing	desserts	3.0	120	+17187626557
Whitestone Bagels Factory	whitestone-bagels-factory-whitestone	bagels	4.0	89	+17187627700
Angelo & Al's Pizzeria	angelo-and-als-pizzeria-fresh-meadows	pizza	3.5	13	+17187628067
The Basac	the-basac-flushing	korean	3.5	7	+17187628484
Jade Asian Restaurant & Caterer	jade-asian-restaurant-and-caterer-flushing	dimsum	3.5	478	+17187628821
Little Sheep Mongolian Hot Pot	little-sheep-mongolian-hot-pot-flushing	chinese	4.0	485	+17187628881
Curry Leaves	curry-leaves-flushing	malaysian	4.0	130	+17187629313
Richard's Diner & Catering	richards-diner-and-catering-canarsie	caribbean	1.0	1	+17187631290
Peking Restaurant	peking-restaurant-brooklyn-2	newamerican	2.5	2	+17187633900
Big Apple Bowling & Fun Center At Gil Hodges Lanes	big-apple-bowling-and-fun-center-at-gil-hodges-lanes-brooklyn	bowling	1.0	1	+17187636800
Sally's Fish & Things	sallys-fish-and-things-canarsie	importedfood	4.5	3	+17187637000
Domino's Pizza	dominos-pizza-brooklyn-28	pizza	1.5	24	+17187637007
China Kettle	china-kettle-brooklyn	chinese	4.0	28	+17187637020
Harbor Fitness	harbor-fitness-brooklyn-7	gyms	4.5	33	+17187639200
Bon Soir Caterers	bon-soir-caterers-brooklyn	eventplanning	4.5	19	+17187639420
Boston Market	boston-market-bronx-3	tradamerican	4.0	5	+17187640266
Mexico En La Piel	mexico-en-la-piel-brooklyn	mexican	4.0	2	+17187650001
Moon & Flower House	moon-and-flower-house-brooklyn	coffee	2.5	27	+17187650020
East Harbor Seafood Palace	east-harbor-seafood-palace-brooklyn	dimsum	4.0	478	+17187650098
Bari Sandwich Shop	bari-sandwich-shop-brooklyn-2	delis	3.5	5	+17187650170
Burger King	burger-king-brooklyn-7	burgers	2.5	7	+17187650844
China 1	china-1-brooklyn	chinese	3.5	8	+17187651155
YoFresh Yogurt Cafe	yofresh-yogurt-cafe-queens	desserts	5.0	10	+17187651200
Sweet Dynasty	sweet-dynasty-sunset-park	icecream	5.0	30	+17187651668
La Brasa Peruana	la-brasa-peruana-brooklyn	peruvian	3.5	51	+17187654088
Chef Andrea	chef-andrea-brooklyn	italian	4.0	42	+17187654203
Jw Golden Bakery	jw-golden-bakery-brooklyn	bakeries	3.0	5	+17187659199
Abdullah Sweets and Restaurant	abdullah-sweets-and-restaurant-brooklyn	indpak	3.0	9	+17187665381
The Blue Stove	the-blue-stove-brooklyn-2	bakeries	4.5	298	+17187667419
TuArepa Pizza Cafe	tuarepa-pizza-cafe-forest-hills-2	pizza	4.0	45	+17187668900
Dunkin' Donuts	dunkin-donuts-new-york-258	donuts	4.5	3	+17187669165
Mike and Maggie's Pizzeria	mike-and-maggies-pizzeria-whitestone-2	pizza	4.5	35	+17187670204
Bella Enterprises	bella-enterprises-whitestone		0.0	0	+17187670316
Liola Ristorante	liola-ristorante-whitestone	italian	3.0	12	+17187671110
Cherry Valley Deli & Grill	cherry-valley-deli-and-grill-whitestone	delis	4.0	303	+17187671937
New Hong Kong	new-hong-kong-whitestone	chinese	4.0	4	+17187672333
Due Ponti	due-ponti-whitestone	italian	3.0	51	+17187673100
The Stack Deli and Grill	the-stack-deli-and-grill-fresh-meadows	delis	4.0	9	+17187673300
Freddy's Pizzeria	freddys-pizzeria-whitestone	pizza	4.0	48	+17187674502
Caffe Italia and Pastry Shop	caffe-italia-and-pastry-shop-whitestone	bakeries	4.0	14	+17187674513
Ducale Restaurant	ducale-restaurant-whitestone	italian	3.5	29	+17187674699
Cozy Diner	cozy-diner-whitestone	diners	3.5	23	+17187674949
Pho32 & Shabu	pho32-and-shabu-bayside	vietnamese	3.0	186	+17187674960
Five Guys Burgers and Fries	five-guys-burgers-and-fries-queens-9	burgers	4.0	114	+17187676500
Casa Asia	casa-asia-whitestone-35	asianfusion	4.0	119	+17187676868
Tasty Grill	tasty-grill-whitestone	greek	3.5	134	+17187677200
Pearl Garden	pearl-garden-whitestone	chinese	4.0	39	+17187677854
King's Chef Chinese Restaurant	kings-chef-chinese-restaurant-whitestone	chinese	3.0	27	+17187678100
Mama Lee	mama-lee-bayside	taiwanese	4.5	247	+17187678680
Il Nocello Restaurant	il-nocello-restaurant-queens	italian	4.0	23	+17187679890
The Bagel Factory - 17th St	the-bagel-factory-17th-st-brooklyn	bagels	3.5	106	+17187680461
Yummy Yummy	yummy-yummy-brooklyn	chinese	3.5	19	+17187680688
Burritos & Tacos Don Clemente	burritos-and-tacos-don-clemente-brooklyn	mexican	3.5	10	+17187680909
Bagels and Wraps	bagels-and-wraps-brooklyn	bagels	3.5	27	+17187681052
C And Y Chinese	c-and-y-chinese-brooklyn	chinese	4.0	31	+17187681188
